4f-1. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.760563%

4f-2. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.817324%

4f-3. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.760704%

4f-4. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.648873%

4f-5. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.762394%

4f-6. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.828873%

4f-7. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.735211%

4f-8. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.678028%

4f-9. Final stats from KNN classifier (titanicR, K set at 3, both normalizations over 100 iters.):
-- Accuracy: 0.773333%

4f-10 Final average accuracy: 0.719192%
